sample.id,parent,cross,phenotype,lineage
X8751ID,875D,A,sterile,EHB
X8756ID,875D,A,sterile,EHB
X875aID,875D,A,sterile,EHB
X8827ID,882D,B,sterile,EHB
X882gID,882D,B,sterile,EHB
X882kID,882D,B,sterile,EHB
X882mID,882D,B,sterile,EHB
X888eID,888D,A,sterile,AHB
X888qID,888D,A,sterile,AHB
X888uID,888D,A,sterile,AHB
X894cID,894D,B,sterile,AHB
X894fID,894D,B,sterile,AHB
X894iID,894D,B,sterile,AHB
X8751IQ,875Q,A,sterile,EHB
X8756IQ,875Q,A,sterile,EHB
X875aIQ,875Q,A,sterile,EHB
X8827IQ,882Q,B,sterile,EHB
X882giQ,882Q,B,sterile,EHB
X882kIQ,882Q,B,sterile,EHB
X882mIQ,882Q,B,sterile,EHB
X888eIQ,888Q,A,sterile,AHB
X888qIQ,888Q,A,sterile,AHB
X888uIQ,888Q,A,sterile,AHB
X894cIQ,894Q,B,sterile,AHB
X894fIQ,894Q,B,sterile,AHB
X894iIQ,894Q,B,sterile,AHB
X8754AD,875D,A,reproductive,EHB
X875cAD,875D,A,reproductive,EHB
X875gAD,875D,A,reproductive,EHB
X8820AD,882D,B,reproductive,EHB
X882cAD,882D,B,reproductive,EHB
X882pAD,882D,B,reproductive,EHB
X888aAD,888D,A,reproductive,AHB
X888hAD,888D,A,reproductive,AHB
X888jAD,888D,A,reproductive,AHB
X894bAD,894D,B,reproductive,AHB
X894qAD,894D,B,reproductive,AHB
X894rAD,894D,B,reproductive,AHB
X8754AQ,875Q,A,reproductive,EHB
X875cAQ,875Q,A,reproductive,EHB
X875gAQ,875Q,A,reproductive,EHB
X8820AQ,882Q,B,reproductive,EHB
X882caQ,882Q,B,reproductive,EHB
X882pAQ,882Q,B,reproductive,EHB
X888aAQ,888Q,A,reproductive,AHB
X888hAQ,888Q,A,reproductive,AHB
X888jAQ,888Q,A,reproductive,AHB
X894bAQ,894Q,B,reproductive,AHB
X894qAQ,894Q,B,reproductive,AHB
X894rAQ,894Q,B,reproductive,AHB